RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
2639,Brookings County,South Dakota,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179200,172800,170500,156600,166600,169000,179800,179300,178000,172200,173400,173700,196000,196600,197000,185100,185700,191500,195900,191500,193600,187400,195700,195400,201200,208700,206600,208300,204400,201200,196200,185400,204200,210000,216200,204500,213700,208200,201000,181000,183000,184500,197800,196100,178500,174900,183400,223500
302,Rhea County,Tennessee,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,97200,100900,103100,97600,97000,102500,105200,108900,112300,111500,112000,105700,106000,98500,102100,99200,104400,104700,101300,103600,97500,108800,106100,112000,110100,113900,115600,122200,127400,113800,109300,113400,125900,130000,126200,129600,132200,133100,140800,142100,145500,139800,136500,131200,139700,137900,135000,130400,129200,128200,110200,118100,114000,121300,118300,120800,139700,136100,148300,138000,151300,146400,143800,139800,140900,146800,139000,144700
658,Obion County,Tennessee,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73300,78800,77100,71300,72500,69300,69100,74300,85200,85800,82600,74600,90600,73800,77100,61200,68900,68200,70400,74300,72700,70500,66300,67600,72600,82200,87200,86700,88900,86800,90400,92000,100100,94100,80100,84800,93000,89700,77300,71300,88900,88800,84000,93400,91700,103400,87600,79000,96200,
2985,Muhlenberg County,Kentucky,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85900,85800,84800,86400,83200,81500,82000,83500,81100,81500,90600,94300,92900,80100,79700,79900,88900,93600,90800,94600,93900,99300,87900,83500,87400,87400,96700,91000,89400,84800,87700,83800,77600,69500,76400,82000,90400,85400,95400,85100,91000,77900,87700,84700,93400
360,Adams County,Nebraska,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121600,103300,120200,126900,129700,121100,121800,126600,132000,117900,130700,138200,148700,139000,126100,131000,126400,135700,129700,128700,130800,129700,138600,147700,164800,157400,
1915,Malheur County,Oregon,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128600,117300,106700,96900,103000,106700,113900,118400,122600,128400,119600,116900,117100,122700,127100,124500,129500,119300,124500,118400,127200,118600,156200,155100,146200,117700,116500,136300,132600,139900,131500,129200,126200,141000,151100,158700,147900,142700,143400,146700,158500,154900,152600,151700,162800,166100,172300,160800,156900
2295,Freeborn County,Minnesota,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82800,83200,84200,81400,89400,102300,107900,102900,92000,82100,77600,77500,79000,92200,96200,102100,89700,88300,87900,90000,90100,97800,99400,103600,93100,93100,90700,94000,92900,87000,83800,84800,98400,99500,113200,107500,117700,111500,107000,103100,97600,106900,118200,118100,114000
289,Polk County,Missouri,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103700,103800,118500,116900,119400,111100,117000,117500,119200,122800,132700,134700,138500,132900,126600,113500,115900,114800,116600,110600,111700,131700,137900,139300,115400,111700,118200,124200,124800,117200,112000,120200,124700,135400,126000,127900,112200,121100,124500,137700,137800,132700,135400,135200,145400,139700,137800,133600,140000,148800,147700,154600,147800,146900,145400,134100,137000,153100,157900,152500,133500,139800
2066,Wakulla County,Florida,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121300,113700,101600,111200,121900,114600,103100,100400,101800,107000,116200,117500,122100,130100,124400,126000,115700,123900,123300,113700,123500,128200,136200,132400,137400,143200,139200,130000,127100,136300,150100,152800,140300,141000,139700,147900,137400,134400,121100,120500,123500,138000,141900,150700,156800,168800,180300,175400,171500,163700,172600,169500,174500,161800,171800,176700,182100,175300,160100,163700,171700,181100,174100,183500,176900,181800,170800,194400,199700,197800,186900
1757,Hancock County,West Virginia,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78700,80400,70200,65900,61500,68300,71600,75100,72600,70000,73600,75900,74800,71900,75500,71800,71900,80300,95000,95800,85000,80200,84800,89500,86200,71700,72800,73300,86900,86600,85700,78500,85200,82700,86300,79100,84800,83700,72500,77000,90800,91400,87700,80800,92300,95700,82900,79200,73600,82700,84600,77500,82400,80100,84100,79700,83100,80700,77600,78500,82500,88400,85800,89200,88200,84800,83600,77300,84900,80500,85100,86900,90700,94200,89000,81100,80200,76000
2415,Marshall County,Tennessee,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129100,134500,129300,134000,138500,143800,139600,128500,126400,132000,139200,143600,146200,149300,158000,151500,152100,144400,154900,160400,170300,176400,170100,164500,163100,167800,179700,167100,168700,164700,172400,166700,172300,177000
412,Bryan County,Georgia,1056,250600,245100,196900,187200,188700,187700,196200,190100,199500,179800,185200,188100,197500,205600,202500,213000,216700,215300,204900,190500,185500,195100,208300,221200,215100,200700,176300,162100,172800,185500,199800,186500,169600,160500,171600,191900,202200,185700,180000,169200,167800,147600,163000,170700,175800,175100,159000,177300,172600,182900,180200,183200,191900,188200,174600,196200,203900,217000,184600,170400,162800,183500,187400,187500,177200,187200,185600,191800,179000,181500,191300,196500,184600,168400,175800,187600,182700,177900,167200,181500,184100,202300,199500,209500,217700,213800,208600,206500,205100,204200,200700,203200,210700,214500,214700,208100,209000,216400,219600,217200,217000,206200,209700,203100,221900,226800,231700,232000,219200,213700,208300,218900,228700,227600,223300,220100,225500,221400,229600,232500,235700,233600,228700,233600,230300,236900,244000,243800,234400,227800,229900,230400,224000,219800,225700,233100,237900,237900,229300,229100,227800,249600,260600,262300,254200
